review_tokens_SR,Sentimen
kecewa banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik baik sabar mengikuti prosedur customer service berpikiran positif ternyata begini caranya,Negatif
kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar dus basah memang membuat video unboxing selalu mendapat produk packaging bagus avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin,Negatif
paket datangnya barang pecah return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan mohon improvement selanjutnya thanks,Negatif
enggak sabun nya enggak sesuai deskripsi,Negatif
enggak sesuai harapan,Negatif
bagus banget buat kulit oily menghilangkan bruntusan mengecilkan pori,Positif
enggak perlu diragukan sih produk worth buy pengiriman cepat packagingnya super aman thanks seller,Positif
barang diterima baik expired lah,Positif
baru mencoba,Netral
mudah mudahan cocok reviewnya bagus,Netral
mantap,Positif
bismillah semoga cocok,Positif
kecewa banget pokoknya,Negatif
kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti,Negatif
semoga cocok,Positif
dicoba,Netral
langganan cocok pakai serum thanks seller,Positif
serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya,Netral
mantap pakai banget perjalanan pengiriman lama banget,Netral
dicoba ngabisin dulu next bakal review kalo hasilnya,Netral
cocok banget buat oily skin kayak aku,Positif
baru sekali pakai kerasa halus dimuka,Positif
barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa,Netral
beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget,Negatif
harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian,Negatif
melembabkan banget teksturnya kental cepat banget nyerepnya,Netral
packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik,Negatif
tertipu gratis hadiah sarung gambar,Negatif
dijanjikan expired tahu dapetnya bulan,Negatif
pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif
bahan ringan semoga cocok,Positif
tipe kulitku berminyak,Netral
ringan banget dibibir lup lup dah buat azarine,Netral
no review found,Netral
kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif
barang nya,Negatif
bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh,Negatif
serumnya enggak dikirim,Negatif
baru pertama coba dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif
love banget terima kasih azarine tadinya beli pc ternyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,Positif
pertama kali coba tau sih,Netral
realpict sukses selalu seller,Positif
semua cuma kaya nya kulitku enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,Netral
baru pertama coba semoga cocok pengemasan cepat aman pengiriman cepat,Positif
pesan paket twin pack harusanya terima produk terima sempat melakukan video unboxing jadi tadi klaim mohon setelahnya lebih berhati memperhatikan produk dikirim apa sesuai pesanan,Negatif
pelayanan admin nya jelek,Negatif
kesel aku menunggu barangnya datang salah dong produknya mana bungkusnya sesuai sama produk aku pesan alhasil aku buka video banget kalau semisal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi kehilangan kepercayaan sama toko mana lama mana fotonya enggak dilampirkan tulisan gangguan rumah toped enggak tau deh serah cek data gudang data pembelian produk gudang jumlahnya beda,Negatif
barang dikirim cuman harusnya beli twin pack,Negatif
pakai harian wajah jadi berminyak merah jadi beruntusan,Negatif
sesuai deskripsi,Positif
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral
kecewa sama pengemasannya kardusnya peyok dalemnya enggak bubble wrap biasanya bubble wrap nya untung paketnya aman,Negatif
tipe kulitku kering,Netral
pertama kalinya menerima barang pesanan lengkap sayangnya melakukan video unboxing,Negatif
beli tanggal mei chat admin katanya tanggal dikirim mau batal otomatis baru dikirim rumah tanggal malam padahal mau dibawa luar kota tanggal mei melihat status enggak dikirim akhirnya beli sama reseller jakarta kecewa baru pertama kali pesan official store pelayanan buruk pengiriman lama barang dikirim sesuai box bubble wrap kalo butuh cepat pertimbangkan beli official store,Negatif
sudahlah prosesnya lama banget dikirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,Negatif
kira membeli toko official pengemasan lebih baik terima kondisi kotak kemasan prpduk terbuka tanya chat penjual direspond cepat isi tumpah cuma berharap kotak kemasan azarine lebih baik kirim video unboxing,Negatif
tiap belanja salah kalo enggak kurang barangnya salah barangnya ikhlasin semoga berkah kalo produknya cocok pelayanan nya kurang butuh karyawan,Negatif
pelayanannya jelek banget,Negatif
exp panjang thanks,Negatif
tekstur keras menggumpal,Negatif
diterima keaadan bocor bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas mau complain entar lama prosesnya,Negatif
teksturnya kental banget aku kurang ngefek sih probably enggak beli,Negatif
botol semprotnya suka ngawur arahnya,Netral
produk bagus sering repurchase suka kesel sama pumpnya isi banyak enggak keluar pump susah kali pump nya,Netral
sering pakai isinya banyak bahannya enggak neko fokus melembabkan,Positif
tekstur ringan pengiriman cepat,Positif
respon toko nya cepat ramah dicoba mudah mudahan cocok,Positif
langganan selalu beli disini,Positif
tutup pumpnya enggak berfungsi gentle banget washnya,Positif
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit tuh full semuka leher cocok banget buat kulitku sensitif,Positif
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman fragrance packaging pump hygenis semoga kulit sensitif cocok terima kasih,Positif
bagus ro,Positif
bagus bagus cocok,Positif
bonus,Positif
dikasih free gift keren,Positif
sebenarnya aku suka banget produknya meresapnya cepat banget kulit enggak lengket greasy nyaman daan kebetulan cocok bekas jerawatku memang jadi lebih memudar hilang tentunya butuh prosesnya bestie tapiii menurutku skin game perhatikan pemilihan packaging pump nya keras lalu produk keluar malah jadi loncat banyak terbuang entah leher botol terjun bebas sedih hiks mungkin konsiderasi improve pump nya aku kasih bintang,Positif
maaf banget susah banget diratainnya whitecast parah bikin kulit jadi kering banget,Negatif
warna nya kuning entah apa,Netral
habis pakai besokannya langsung muncul banyak jerawat kecil,Negatif
isinya berantakan,Negatif
bikin aku jerawatan,Negatif
produk dicoba pengiriman menggunakan bubble wrap produk kotak pengiriman dibuka botol terasa panas mungkin lapisi bubble wrap jadi langsung terpapar sinar matahari pengiriman semoga produk efektif kandungannya,Negatif
selangnya sependek apa sih hilang kebawah wtf annoying banget pakenya bagaimana coba aku cari enggak selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus kalo packagingnya begini sih big no deh,Negatif
parah banget seller pengiriman kurir lama banget kirimnya plus waktu dibuka paketnya rusak enggak jelas seller professional niat jualan sama sekali meskipun official store hargai customer membungkus paket baik benar,Negatif
packaging suka banget pengeriman cepat cuman sorry banget kayaknya memang enggak cocok aku kayak langsung jerawatan besar,Netral
warnanya kuning kiri padahal baru dibuka punya pemakaian bulan kanan bening,Negatif
benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,Negatif
coba pertama kali beli semoga cocok bintang diberikan respon admin pengantaran pesanan baik cepat,Positif
fast response on time delivery,Positif
coba semoga cocok,Positif
tipe kulitku berminyak masalah kulitku pori besar,Netral
semoga cocok terima kasih bonusnya,Positif
barang terima sekarang kurir ditanya balesnya lama pengiriman dipindahtangankan sama kurir pertama kecewa padahal alamat sesuai biasanya begini kak dikomplain bagian ekspedisi pengirimannya terima kasih,Negatif
enggak cocok mukaku tambah jerawat parah,Negatif
hadiahnya bohongan,Negatif
berbohong,Negatif
baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif
oke,Positif
tipe kulitku kering tipe kulitku normal,Netral
pertama kali mencoba warna kulit cenderung gelap awalnya pikir bakal jomplang pas dipakai ternyata blend banget sama kulit warnanya jadi lebih cerah bukan jadi tone up teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas kering lama jadi glow up,Positif
sepertinya botol apa secocok dikulit normal cenderung kering enaknya enggak white cast tone up jadi enggak berasa cemong dikulit putih,Positif
botol kedua enak dikulit gampang menyerap enggak masalah kulitnya mantap,Positif
produk beda isi cairannya customer service ditanya enggak membantu bertele tele,Negatif
kecewa isi full beli tempat,Negatif
terpaksa kasih penilaian jelek admin al el ve handle chat balasnya asal menjawab konsultasi customer baik pertanyan jawabannya sesuai asal balas membaca permasalahan pembeli,Negatif
baru coba semoga cocok recommended seller,Positif
pertama kali mencoba tinted sunscreen mudahan cocok enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap,Positif
pesan barang paket lengkap datang paket,Positif
lebih baik sabtu minggu tetap proses kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif
lemot responnya,Negatif
wtf pas buka tutupnya ternyata keputer malah tempat moisturizernya langsung tumpah setengah,Negatif
isi sesuai,Negatif
thanks,Positif
well received thanks,Positif
barang aman cuma aku abuan dikit ditoleransi thanks,Positif
produknya biasa paling parah pelayanannya sangat memuaskan helpfull customer oriented hati kalau belanja disini kesalahan sedikit bakal fatal,Negatif
katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya,Negatif
kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,Negatif
beautiful package bintang buat safety nya,Positif
pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak,Negatif
top,Positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
exp,Positif
pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba,Netral
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif
barang sesuai pesanan,Positif
pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan,Positif
moga cocok soalnya dulu cocok banget pakai,Positif
pengiriman cepat mantap,Netral
alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin,Negatif
bahannya gampang menyerap,Netral
bagus,Netral
bagus,Netral
oke,Negatif
gratis mini pouch terima kasih semoga cocok,Netral
alhamdulillah barangnya semoga cocok selau harga diskon yes,Negatif
cocok sama produknya,Positif
berkali kali beli toko official kali pembelian selalu amanah thanks,Positif
barang nya oke,Positif
repeat order,Netral
masalah kulitku pori besar,Negatif
beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan byeee,Negatif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth,Netral
kecepatan pengiriman baik bubble warp,Netral
tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
harga ceban yay dicoba,Netral
pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas,Netral
ternyata baru pertama kali semoga cocok,Netral
mudahan cocok terima kasih,Positif
sering beli selalu cocok,Netral
barang datang selamat lama datangnya,Netral
packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih,Positif
terima kasih,Netral
bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya,Netral
tipe kulitku kombinasi masalah kulitku jerawat,Netral
tipe kulitku kombinasi,Netral
tipe kulitku berminyak masalah kulitku pori besar original terima kasih,Netral
bahannya ringan cocok digunakan,Positif
tipe kulitku berminyak baru mau mencoba makai sebelumnya mencoba punya teman cocok,Netral
barang datang sesuai packing nya aman pengiriman cepat,Netral
berasa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,Netral
beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulitku kombinasi,Netral
warnanya cantik banget,Netral
cocok tipe kulitku kombinasi,Netral
jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana,Netral
jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana baru sekali pakai produk oke banget pas dipakai kulit cocok suka sama packing barunya,Netral
cocok kulit berminyak kemasannya lucu,Netral
bahannya ringan cepat meresap terus packaging nya banget,Netral
terima kasih banyak paket selamat,Netral
barang bagus sesuai packing mantap terima kasih,Netral
enggak usah ditanya memang sebagus lembab bantu pulih skin barier sejauh moisturizer enggak ganti,Netral
produk sangat bagus langsung menyerap membuat lembab,Netral
repurchase berkali produk simple efektif packaging simple aman,Netral
cocok kulit tekstur ringan sangat cepat menyerap kulit super recommended,Positif
baru pertama kali beli skin game mudah mudahan cocok,Negatif
akhirnya menemukan moisturizer cocok moistnya ringan cepat menyerap aku memakai tube tube dipakai bulan lebih tergantung pemakaiannya,Netral
bagus semoga cocok,Netral
baru mau dicoba semoga cocok,Positif
produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayaknya,Positif
pengiriman pengemasan cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou,Netral
baunya aneh apek bau besi tempatnya pernah pakai sabun bau enggak pernah jadi kurang nyaman pakainya sekarang,Netral
dulu selalu jadi langganan solusi kalau jerawatan bulan kebetulan breakout pikir lama langsung checkout holy grail love you serebu,Netral
barang selamat packagingnya aman semoga cocok,Positif
baru pertama kali coba semoga cocok thank you seller,Positif
barang selamat,Negatif
packing rapi aman barang sesuai pesanan,Netral
this moisturizer is seriously game changer love how one bottle could last me months,Netral
baru mencoba pertama kali semoga cocok reviewnya bagus,Netral
mantap sesuai semoga cocok,Netral
tadinya mau beli diofflinestore mahal banget pas cek dionline store nya cuma potongan sama flashsale langsung beli,Positif
terima kasih,Positif
terima kasih,Netral
terima kasih tumben enggak gift nya,Netral
tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian terima kasih,Netral
semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian memang enggak cocok,Netral
bagus,Positif
pengirimannya cukup cepat barang dikirimkan sesuai pesanan expired datenya,Positif
cocok dikulit enggak kering tertarik pengiriman cepat mantap,Positif
lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
barang lengkap packing aman rapi coba productnya semoga cocok tipe kulitku normal,Positif
bacanya review nya bagus mudahan cocok terima kasih bonusnya pas banget pas butuh,Positif
cocok dikulit pakai jerawat biji pipi meradang malam dikasih besoknya mendingan kempes,Netral
sebenarnya bagus aku jatuhnya bikin bibir kering walaupun pakai lipstick pakai lipbalm warnanya pigmented banget merah queennya bagus banget,Netral
exp date lama pengirimannya cepat diskonnya lumayan thanks somethinc,Positif
semoga cocok kulitku sensitif banyak teman rekomen coba jadi langsung aku checkout,Positif
dicoba semoga cocok,Netral
paket aman semoga cocok,Positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
kiriman cepat packing bagus,Positif
sesuai deskripsi,Positif
ingredients nya bikin penasaran jadi pengin mencoba sejauh selalu repurchase produk avo selalu cocok aaaa,Positif
pengirimannya lama banget diganti kurirnya,Negatif
pengemasan oke semoga cocok,Positif
semoga cocok,Netral
bintang pertamanya dikirimin expired pembelian harga normal beli chat tanya perbedaan harga normal sale sale expired normal expired walaupun akhirnya return ganti expired proses return nya ribet banget terutama pihak expedisi sicepat segera pick up hari maksudnya kalau awal teliti enggak perlu buang waktu mengurusi return nya semoga kedepannya makin teliti packing aman bagus admin responsive thank you,Negatif
packing aman expired lama,Positif
huhu serum nya datang cepat banget pengiriman beli harga diskon baru pertama pakai semoga cocok muka ku tipe kulitku normal,Positif
tipe kulitku sensitif,Netral
paket lempar sama kurir jelas jelas tulisan fragile dusnya,Negatif
barang baru pertama kali mencoba semoga cocok,Netral
serum terbaik buat memperbaiki skin barier rusak pakai serum sejak hasilnya jerawatku enggak pernah muncul kulitku jadi enggak pernah rewel please jangan enggak produksi serum jadi pakai kulit aku,Positif
mencari alternatif ingredients menyamarkan bekas jerawat aku enggak cocok sama vit niacin alpha arbutin,Netral
dulu pernah memakai ngefek banget kulit bikin jadi lembab enggak beruntusan dibarengin sama refining tonernya,Positif
pesan tanggal dikirim tanggal padahal tanggal dibawa terbang kecewa kali mendapatkan pelayanan kurang menyenangkan padahal produk bagus menjadi pengguna tetap avoskin,Negatif
bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman enggak bublewrapnya padahal perjalanan jauh sidoarjo jakarta,Negatif
pengirimannya pakai sicepat sangat lambat gudang tanggal baru diantar rumah tanggal sayang banget enggak sesuai nama,Negatif
paket diterima keadaan baik,Positif
baru pertama pakai semoga cocok min tipe kulitku berminyak tipe kulitku kombinasi,Netral
fast respon,Positif
nice,Positif
worth the price pcs harga cashback,Netral
thanks,Positif
packing aman banget semoga cocok,Positif
alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi azarine thanks azarine,Positif
repurchased indak bikin kusam affordable,Netral
isinya dikit banget bingung mengira enggak isinya,Negatif
ringan kulit warna pas,Netral
cepat ringan sesuai namanya tinted sunscreen buat menutupi kemerahan aku sebelumnya mencoba shade nina malah jadi kusam kuning akhirnya mencoba shade butter pas,Netral
cepat teksturnya creamy smugeproof loh warnanya kurang pigment,Negatif
teksturnya ringan mudah menyerap kulit spf nya jadi kalo dipakai daily walaupun enggak full coverage menutupi warna merata dimuka bakalan repurchase,Negatif
pengiriman cepat packing oke thanks,Netral
suka sama warnanya next order warna,Netral
tipe kulitku berminyak alhamdulillah cocok thanks,Netral
beli serum pas harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya dicoba jadi kasih nilai,Positif
jujur buat aku enggak cocok aku gapaham skincare cenderung asal beli cuma sepertinya works deh kalo memang cocok tipe kulitnya feel dimukanya dipakai lengket aku jadi enggak tidur miring terus bukan tipe skincare kalo kena angin adem mukanya cuma yaudah salahku,Negatif
hasil akhir bagus kayak kulit bersih sehat,Negatif
